Programs Pages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STEM,STEM,STEM,STEM,STEM,STEM,STEM,Life Skills,Life Skills,Life Skills,Life Skills,Visual Arts,Visual Arts,Visual Arts,Visual Arts,Visual Arts,Visual Arts,Performance,Performance,Performance,Media Arts,Media Arts,Media Arts,Media Arts,Athletics,Athletics,Athletics,Athletics,Athletics,Athletics,Athletics,Athletics,Athletics,Music,Music,Music,Music,Kindergarten,Kindergarten,Kindergarten,Kindergarten,Kindergarten
,/chess-extraed/,,/coding/,/lego-extraed/,/lego-robotics/,/minecraft/,/science-extraed/,/money-managers/,/entrepreneurship/,/safe-and-sound-on-your-own/,/wilderness-explorers/,/drawing-sketching/,/mixed-media-art/,/comic-book-art/,/art-extraed/,/crafting-extraed/,/sewing/,/magic/,/magic/,/drama/,/stop-motion-animation/,/short-video-creation/,/digital-art/,/video-game-design/,/multi-sports/,/yoga/,/basketball/,/soccer/,/ultimate-frisbee/,/pickleball/,/martial-arts/,/badminton/,/gymnastics/,/guitar/,/ukulele/,/music-club/,/piano/,/kindergarten-science/,/kindergarten-chess/,/kindergarten-arts-crafts/,/kindergarten-drama/,/kindergarten-multi-sport/
Club title,Chess,Chess for STEM and SEL/Échecs pour STIM et AS,Coding,LEGO®,LEGO® Robotics,Minecraft: Education,Science,Money Managers,Entrepreneurship,Safe and Sound On Your Own,Wilderness Explorers,Drawing and Sketching,Mixed Media Art,Comic Book Art,Art,Crafting,Sewing,Magic,Musical Theatre,Drama,Stop Motion Animation,Short Video Creation,Digital Art,Video Game Design,Multi-Sport,Yoga,Basketball,Soccer,Ultimate Frisbee,Pickleball,Martial Arts,Badminton,Gymnastics,Guitar,Ukulele,Music Club,Piano,Kindergarten Science,Kindergarten Chess,Kindergarten Arts & Crafts,Kindergarten Drama,Kindergarten Multi-Sport
Tagline,Pawn to King 4.,Bringing chess to the classroom.,>>> print(‘Hello World!’),Building is better with friends.,"Nimble fingers, nimble minds.",The total brain workout!,Actions and reactions.,Tools for your financial future.,It's never too early to start your start up.,Resiliance through self-reliance.,Survival skills start here.,Ready your pencils.,Imagination on display.,Adventure awaits.,The world is your canvas.,"Busy hands, happy minds.",Follow the thread.,And for our next trick…,Calling all triple-threats!,Step into the spotlight.,"Telling stories, frame-by-frame.","Lights, camera, action!","Painting pictures, pixel-by-pixel.",Ready player one.,Drop that screen and break a sweat.,It’s never too early for sun salutations.,Nothing but net.,Come play the beautiful game.,Elevate your game.,"Dink, Dive, and Smash!",Kickstart confidence.,Rackets at the ready.,"Bend, balance and shine.",Are you ready to rock?!! (on acoustic guitar),"Little hands, big songs.","And a one, and a two…",Starting at middle C…,Actions and reactions.,Make your opening move.,Time to roll up your sleeves and don your smock!,All the world’s a stage…,Break a sweat and have some fun.
Blurb 1 title,Cognitive benefits.,Learning through chess.,Follow the logic.,Teamwork.,Build as a team.,Crafting knowledge.,Get experimental.,Financial literacy.,Get the basics.,Home alone.,Ready for anything.,Have fun with it.,Discover new potential.,Design characters.,Learn new techniques.,Learn new skills.,Hand stitching.,Conjure up confidence.,Sing a story.,Listen closely.,Making art that moves.,Direct the action.,Intro to digital images.,Bring your ideas to life.,Let's get moving.,Strengthen and lengthen.,Sharpen you skills.,Skills Training,Keep fit.,Hone your skills.,Mix it up.,Refine Your Skills.,Splits and scissor kicks.,Play right away.,Move those fingers.,Music play.,The language of music.,Get experimental.,Welcome to chess.,Hands-on art.,The art of play.,Get those bodies moving.
Blurb 1,"The benefits of chess are myriad. For novices learning the basics to experts practicing for chess competition, our program improves problem-solving, pattern recognition, and strategic thinking.","This program approaches crucial mathematical, scientific, and social emotional learning concepts through the game of chess. We use demonstration, storytelling, and a variety of original educational materials that ensure accessibility for each student.",Students are introduced to the basic logic and principles of programming. They build familiarity with these concepts through fun and simple exercises following ordered sets of commands,"Group builds are more fun. Our LEGO program fosters a cooperative building environment where children learn to communicate effectively, share ideas, and work together towards a common goal.","Working in groups, students tackle each LEGO robotics build together. They make a plan, assign roles among their team, and follow step-by-step instructions to completion.","Experience learning like never before with Minecraft: Education Edition. From building structures to exploring ecosystems, this program draws on hundreds of lessons created by educators around the world.","Whether observing bubbles to understand surface tension, or visualizing how sound waves reverberate using lengths of string, we unravel complex concepts with fun and illustrative weekly experiments.","From basics like spending and savings, to advanced concepts like investment vehicles and compound interest, we give students the foundational financial principles they need to plan for their futures.","We introduce fundamental concepts in financial literacy, business structure, and funding models, giving students a solid base of basic business knowledge and terminology to work from.","Being independent requires responsibility and critical thinking. Through games and roleplay activities, our participants will learn to anticipate, react to, or rectify common home-alone challenges.","From knot-tying to shelter-building, kids develop essential survival techniques that spark independence, encourage resilience, and build confidence through creative, hands-on challenges.","With open-ended weekly activities and drawing challenges, our program encourages students to integrate their personal drawing interests into their work and to draw what they love.",Our students learn through both technical lessons and hands-on exploration—fostering their imaginations as they discover the potential of manipulating and combining different media.,"Students begin by exploring techniques to create fun and expressive characters. Reflective of their own interests, students consider: What does this character like? What do they do? What do they want?","From week-to-week we introduce a variety of artistic mediums. Our students practice pencil sketching, collage, watercolour, 2D sculpting, and many other imaginative avenues for image making.","Our program teaches a variety of activities that are useful, creative, and fun. With weekly projects in knitting, paper quilting, embroidery, and more, students build a host of new crafting skills.","Our budding fashion designers start with the basics: a needle and thread. They build hand-eye coordination, concentration, and fine-motor skills—one stitch at a time.",With a little patience and perseverance our students quickly begin to surprise themselves.  Tricks once thought difficult and mysterious become achievable and fun. Confidence appears out of nowhere.,"Our program builds the skills necessary to connect music with story. Pitch, tone and breathing fundamentals are complemented by lessons in interpreting lyrics and conveying the meaning of a song.","Whether developing a character, acting out a scene, or just observing the world at large, listening is a vital dramatic skill. We actively develop this skill through specific exercises and ensemble work.","Using pen, paper, camera and clay, participants learn the basics of stop motion. They delight in seeing their own animations spring to life as they test their patience, planning and creativity.","Making a great video takes more than just hitting record. We start our program by introducing students to the power of scripting, directing, and editing to make content that stands above the rest.","Starting with basic tools, students are introduced to digital painting software where they experiment with art techniques already familiar to them in analog mediums.","Students will turn creative ideas into playable video games using the Scratch platform. They’ll design characters, code simple game mechanics, and be introduced to the exciting world of game development.","Physical activity is the name of the game. Each class we follow a routine of warm ups, stretching, drills, and a friendly match in that day’s featured sport.","Physical activity is essential to a healthy lifestyle. Our instructors guide students through series of yoga poses that build strength, develop flexibility and improve posture.","From dribbling to shooting to ball movement, our coaches provide comprehensive training in all aspects of the sport. Students gain confidence and proficiency as they take their game to new heights.","Players engage in a range of skill-building activities, including passing, shooting, and ball control. Our dedicated coaches help players refine their technique and become more confident on the field.","Ultimate Frisbee is a dynamic sport. Through high-energy drills and fast-paced gameplay our program enhances coordination, endurance, and overall fitness levels.","From paddle control to shot accuracy, our coaches offer comprehensive training in all aspects of the sport. Participants will gain confidence and proficiency as they elevate their games.","Our multidisciplinary program incorporates techniques from various styles (including karate, taekwondo and aikido) that are geared to building strength, flexibility, and discipline—all while having fun!","Our coaches provide comprehensive training across all aspects of badminton, from basic shot-making to on-court agility. Participants become more proficient, confident and skilled.","We focus on core skills such as balance and coordination to learn basic rolls, cartwheels, and handstands. In our fun and supportive environment students develop strength, flexibility, and confidence!","Between warm up exercises, strumming and picking techniques, and simple chord formation students jump right into the fun of making music from their very first lesson.","Ideally suited to young hands, playing the ukulele fine tunes fine-motor skills. Our students practice strumming, picking, and chord formation as they progress from simple exercises to playing full songs.","In an encouraging environment that stresses fun and play, this program introduces students to the fundamentals of music-making and song using their voices, hands, and percussive instruments.","This program offers a delightful introduction to the piano and the fundamentals of music. Participants learn how time, rhythm, pitch and dynamics all combine to form the music around us.","Whether observing bubbles to understand surface tension or visualizing how sound waves reverberate using lengths of string, we unravel complex concepts with fun and illustrative weekly experiments.","With the aim of blending fun, education, and character development, our program introduces young players to the key foundational aspects of the game—starting with taking turns!","Our program focuses on projects that engage the playful and tactile aspects of creativity. Students hone their fine motor skills as they mix colours, glue materials and build with their hands.","With activities that blend imaginative play into drama-based games and exercises, our participants learn acting and storytelling skills in a setting that prizes fun, communication, and teamwork.","The focus of our program is physical engagement. Participants get active through warm-ups, skill-building drills, and a friendly game of the day's highlighted sport."
Blurb 2 title,Chess skills are life skills.,Seeing a new perspective.,Modify the code.,Hands-on learning.,Bring robots to life.,Boundless creativity.,The scientific method.,Empowered decision making.,Find the opportunity.,Street smarts.,Reading the wild.,Learn new skills.,Surprise yourself.,Tell a story.,Explore your creativity.,Follow a plan.,Work with patterns.,Think differently.,Act it out.,Step out of your comfort zone.,Claymation creations.,You and your crew.,"Emojis, you asked?",Code your own games!,Drills and skills.,Creative practice.,Work together.,Tactical Awareness.,Have fun.,Team up.,The strength within.,Play like a team.,Build on fundamentals.,Learn at your own pace.,Join the band.,Catch the rhythm.,Acoustic awareness.,The scientific method.,Every piece a story.,Materials at play.,Step into character.,Skills development.
Blurb 2,"Chess study has many merits away from the board. Our students exercise the cognitive skills of focus, patience, and decision-making, as well as the interpersonal skills of respect and sportsmanship.","Illustrating curriculum concepts, such as pattern recognition or spacial reasoning, from a chess-based perspective gives students unique and memorable way to grasp these concepts. This novel approach brings ideas to light in ways that may better suit a broader range of leaning styles.","Next, we dig deeper as students add some personal flair by editing their code. With some trial-and-error along the way, they customize sprites, alter images, and add their own stories as text.","By manipulating Lego bricks, kids enhance their fine motor skills, spatial awareness, and hand-eye coordination. They learn through trial and error, developing patience and persistence along the way.",Students are challenged with programming various motors to operate their robots. Problem-solving skills are put to test as students troubleshoot the task of springing their creations into action.,"Minecraft provides an expansive digital hub in which participants build, explore, and learn in an immersive, pixelated world. Our program fosters creativity, critical thinking, and a love for knowledge.","What shapes make strong structures? What happens when we mix these? What grows in a terrarium? To answer these questions (and more) these students learn to employ hypothesis, observation and analysis.","Financial decisions can be daunting. Our lessons and activities are designed to show the long-term cost/benefit of these choices, helping students take control as they reach for their financial goals.","Through exciting activities and engaging exercises our instructors foster an entrepreneurial spirit. They encourage students to think creatively, generate innovative ideas, and to take risks.","Our program teaches practical lessons in situational awareness, street and bike safety, and confident self-expression to help young pedestrians learn to navigate their surroundings independently.","Explorers learn to recognize bird calls, find and follow tracks, and read the clouds to predict weather patterns—developing curiosity, attentiveness, and a stronger connection to the natural world around them.","Through both group demonstrations and individual instruction, our program covers a variety of interesting and accessible drawing techniques that yield exciting results.","Inventiveness is the order of the day in our mixed media program. We foster experimentation and playful expression, relishing the artistic surprise of unexpected “happy-accidents.”","Through pictures and words our students' characters come alive in their own worlds. We explore storytelling using humour, action, mystery and drama as each student tells a tale as unique as they are.","Students will engage in various approaches to colour, style, abstraction and representation as they explore their own interests and make unexpected artistic discoveries.","Crafting disciplines demand forethought and patience. Our activities help students learn to make a plan, keep focused on the task at hand, and problem-solve when obstacles arise.","Choosing a project from design patterns of shirts, skirts, stuffed animals and more, students learn the basics of working with patterns, understanding their notation, and applying order of operations.","Magic tricks employ misdirection, deception, and sleight-of-hand. Analyzing a trick and learning how to perform it exercises critical thinking and problem solving—both vital to the study of magic.","Our instructors use scene work and rehearsals to guide students through techniques for conveying the dramatic intent of a scene, such as expression, gestures, blocking, and vocal inflection.","With supportive guidance, our students work together to get comfortable in front of the group, build trust in fellow performers, and develop a self-confidence that carries beyond the stage.",Modelling clay is an ideal material for beginners and experts alike. Our program teaches how to craft clay characters for animation and how to manipulate them shot-by-shot as we create movie magic.,"Teamwork is vital to our program. Whether they are acting, shooting, making props, or assisting each other, every student learns to work on a crew in order to bring each of their projects to life.","Once comfortable with digital painting basics, students are taught a pixel-art program where they use paint tools and layers to make their own custom emojis, icons and characters.","Through hands-on activities, students will explore essential coding concepts like motion, events, loops, and variables. Each week, they’ll build new skills and apply them to their own game projects.","Build concentration and coordination with sport-specific skill exercises such as passing drills for soccer or basketball dribbling challenges, each particular to that day’s sport.","Whether expressing playful themes, inventing student-led yoga games, or participating in cross-curriculum activities such as art or storytelling, we always incorporate creativity and fun to our practice.","Teamwork is vital to basketball success. We focus on building the communication skills, camaraderie, and trust necessary to thrive on (and off) the court.","Our students improve their understanding of positioning, movement off-the-ball, and effective communication on the pitch, enabling them to make smarter decisions during game situations.","While emphasizing the need for teamwork, effective communication, and fair play, our instructors ensure that laughter and enjoyment are always central to our students’ experience.","Teamwork is fundamental to pickleball success. Our drills and practice sessions emphasize communication, camaraderie, and trust-building to excel on the court.","In martial arts, confidence is key. Our drills and game-based activities emphasize effective communication, assertiveness, and self-discipline to build a foundation for lasting confidence and inner strength.","In doubles badminton, teamwork is paramount. We place a strong emphasis on fostering effective communication, building team spirit, and establishing trust on (and off) the court.","As they progress past the basics, participants are instructed in a variety of skills, including star jumps, half turns, tuck jumps, cartwheels, and handstands—all in a safe and positive setting.","Since we have students with a range of playing skills our instructors have them work in parallel, with each student practicing songs and exercises appropriate to their abilities.","While our students each progress at their own pace, based on age and experience level, we always make time to play as a group, so that everyone shares in the joy of making music together.","With triangles, maracas, and castanets in hand, students are taught to find the rhythm of a song and play along. They hone their listening and focus skills as they keep in time and play as a group.","Students navigate finger, arm, and body positions with precision as they work towards creating beautiful melodies. They develop better listening skills and a keen sense of focus in their harmonious explorations.","What shapes make strong structures? What happens when we mix these? What grows in a terrarium? To answer these questions (and more) these students learn to employ hypothesis, observation and analysis.","We teach the roles of each chess piece in an inventive, kindergarten-relatable fashion. Through a combination of imaginative stories, dramatic play, and hands-on practice students will learn movement, positioning and strengths.","Markers, paints, glues, cardboard, paper, pipe cleaners, yarn, recycled objects: they all find their way into our projects as we explore a variety of materials in novel and inventive ways.","Together, participants play and develop different characters—including those from favourite books or shows—giving them the opportunity to explore and convey emotions and practice self-expression.",Improve focus and coordination through sport-specific exercises like soccer passing drills or basketball dribbling challenges—each tailored to the sport of the day.
Blurb 3 title,Grow your game with us.,Problem solving in action.,Run program.,Creative exploration.,Invent it yourself.,Game-based learning.,Discovery is everywhere.,Lessons that last.,Make your pitch.,Online safety.,Finding your way.,Blank pages beware.,Unleash your creativity.,Make your own book.,Build lasting skills.,Reach your goal.,Add some flair.,It’s showtime.,Add dance to the drama.,Express yourself.,Creative team building.,Telling stories.,Bringing it all together.,"Create, play, and share.",Inclusive activities.,Focus on your breath.,Keep it fun.,Physical fitness.,Make new friends.,Have a blast.,Defend yourself.,Enjoy the Journey.,Tumbling into routines.,Get individual attention.,Get individual instruction.,Find your voice.,Build musical bonds.,Discovery is everywhere.,Games within a game.,Create together.,Making a story.,Inclusive fun.
Blurb 3,"Our students build their skillsets from term to term. As such, we do not repeat specific lessons within a school year. Instead, we find fresh and exciting methods to explore the main themes of the game.","Science and chess share in common the need for problem solving and probabilistic thinking. As students engage in individual challenges, small group work, and student-to-student games, they are able to apply these concepts they are learning directly to the practicalities of the game at hand.","Adding the power of loops, conditions, and other programming tools students complete their own simple games and fun exercises.","Building with LEGO bricks encourages children to think critically, problem-solve, and express unique ideas. We aim to foster a sense of imagination and empower children to bring their visions to life.","Building from the instructions is only half the fun. Once familiar with the functions and logic of their LEGO kits, students engage their creative minds as they invent original creations.","Participants hone their 21st century skills as they merge gaming excitement with educational exploration. In this dynamic environment they delve into subjects as diverse as STEM, history, coding, and language arts.","From many different branches of science—the physics of flight, the chemistry of photosynthesis, the biology of terrarium life—we connect students with the scientific workings of the world around them.","With engaging, easy-to-understand visual presentations, and activities with personal stakes, such as our “Net Worth Tournament,” we turn a subject that might otherwise be dull into one that is memorable and inspiring.",Pitches and presentations are integral to our program. Students will put their communication and leadership skills to the test in a constructive and positive environment.,"Through a series of engaging, game-based activities, we teach kids how to engage with online games, shops, and chats safely—building awareness of phishing, cyberbullying, and other online risks.","With maps, compasses, and even homemade sundials, students build navigation skills while learning how to prepare and adapt—tools that foster self-reliance, empowerment and critical thinking.","We always have ample paper on hand because our students draw non-stop. By program’s end they will each have a folder of their work, brimming with art to feel proud of.","With the opportunity to mix media in innumerable and creative ways, students are able to discover unique expressions of their creativity, bounded only by their own imaginations.","With an eye to creating expressive dialogue and descriptive visuals, we aim for each student to complete their own original comic book—so clear some space on your bookshelves!","With clear technical instruction, and inspiring approaches to art, our instructors equip participants with new skills and ideas that can be applied well beyond the end of our program.",Our students see their projects through to completion. Tying-off the final knot of an intricate bracelet or unfolding a delicate origami crane always brings satisfaction and a sense of accomplishment.,"Our instructors demonstrate embroidery, creative fabric uses, and pattern modification all as ways for students to customize their projects and give them a personal touch.","We provide a variety of opportunities for students to perform their magic. As the develop unique routines they learn to present themselves effectively, communicate clearly, and engage with others.","As they work towards their ensemble piece, students introduce movement and dance to their performance. They work both from their own improvised movements and from group choreography.","Through a variety of exercises in voice, movement, and expression, our students develop the tools to express their unique performance abilities—often unlocking skills they didn’t even know they had.","Animation takes a lot of teamwork. While collaborating on more complex projects participants learn to animate their characters, props and scenes as a group—creating more complex and rewarding work.",Telling stories in a time-based medium is not as easy as it looks. Students will put their communication skills to they test as they bring their footage together into artfully-crafted final projects.,"Students integrate digital drawings, pixel-art, and photographs together using image-editing software. This fun, experimental experience lets them explore the possibilities of digital art.","By the end of the program, students will have created their very own video games. They’ll share their creations with classmates and can continue to access their games in their Scratch accounts from home.","During games, our encouraging instructors place emphasis on participation and sportsmanship. We play hard, but winning and losing take a backseat to fair play and teamwork.","Our program offers a peaceful respite from the hectic day. By connecting with their breath, students improve their focus and hone their concentration skills—benefits that carry beyond the mat.","Our program fosters a supportive environment for every child. With engaging activities, friendly competitions, and positive energy, we ensure that every session is filled with laughter and joy.","Playing soccer requires a strong athletic foundation. We incorporate age-appropriate warm-ups, drills, and conditioning exercises to enhance participants' speed, endurance, and overall fitness.",Camaraderie and friendship vital to the experience of ultimate Frisbee. Our class provides an ideal environment for kids to building lasting bonds with others who share their passion for the sport.,"Our program creates a supportive atmosphere for every player. Through engaging activities, friendly matches, and positive vibes, we ensure that each session is filled with laughter and enjoyment.","We teach practical self-defense techniques that empower participants to protect themselves and others. They develop skills to stay fit, focused and ready for any challenge that comes their way.","Our program creates a nurturing environment for every participant. Our activities and games are played in a positive atmosphere, ensuring that each session is filled with laughter and enjoyment.","Gymnastics routines develop patience, endurance and body awareness. Our instructors teach various techniques used to link series of foundational moves into progressively more challenging and rewarding routines.","Our instructors are mindful to take time with each student to assess their skill level, instil correct technical habits, and find just the right songs to engage their musical tastes.","Our instructors take time with each student to assess their skill level, offer individual feedback, promote good technical habits, and find the right songs to engage their musical tastes.","Using a leader-and-callback stye instructors and students practice connecting words and songs. Students gain confidence as they explore melody, learn to sing in unison and perform with joy.",Lasting connections are forged through the shared language of music. As young talents collaborate in a supportive group setting they foster camaraderie and a shared love of musical expression.,"From many different branches of science—the physics of flight, the chemistry of photosynthesis, the biology of terrarium life—we connect students with the scientific workings of the world around them.","Breaking down the game into smaller, more digestible activities, we use exercises and puzzles to teach concepts such as attacking with diagonal movements or how to position multiple pieces in concert with each other.","Our instructors foster an environment for positive social interactions. Students have fun as they interact with their peers, share their work with the group, or work together on collaborative projects.","As play becomes more performative, participants practice storytelling through movement, sounds, and words. Cooperation and listening skills are on display as they share ideas and tell stories together.","During games, our supportive instructors encourage participation and sportsmanship. Fairness and teamwork are our top priorities, with winning and losing taking a backseat to fun."
Themes title,,,,,,,,,,,,,,,,,,,,,,Editing Platform.,Software platforms.,No prior coding experience needed!,Focus on fun.,No experience necessary.,All skill levels welcome!,All skill levels welcome!,All skill levels welcome!,All skill levels welcome!,All skill levels are welcome!,All skill levels welcome!,All skill levels welcome!,Take your guitar home with you.,Take your ukulele home with you.,Kindergarten focus.,Take your keyboard home with you.,,,,,
